"SPEC(High, Mid, Low)",CPU NAME,CPU BenchMark,CPU Core,CPU Thread,CPU ClockSpeed GHZ,CPU ClockSpeed Turbo GHz,GPU NAME,GPU BenchMark,GPU Memory GB,GPU Clock MHz,GPU Clock Boost MHz,GAME NAME,RESOLUTION,GAME SETTING,GAME MIN FRAME,GAME AVG FRAME,GAME MAX FRAME
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 3070 Ti,23166,8,1575,1770,1,QHD,ULTRA,61,75,116
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 3070 Ti,23166,8,1575,1770,1,QHD,HIGH,81,100,156
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 3070 Ti,23166,8,1575,1770,1,QHD,MEDIUM,106,132,204
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,AMD Radeon RX 6800,20660,16,1700,1815,1,QHD,ULTRA,42,66,90
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,AMD Radeon RX 6800,20660,16,1700,1815,1,QHD,HIGH,71,93,102
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,AMD Radeon RX 6800,20660,16,1700,1815,1,QHD,MEDIUM,96,123,137
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 2080 Ti,21780,11,1350,1545,1,QHD,ULTRA,57,74,82
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 2080 Ti,21780,11,1350,1545,1,QHD,HIGH,77,100,111
High,Intel Core i5-12600K,27341,10,16,3.7,4.9,GeForce RTX 2080 Ti,21780,11,1350,1545,1,QHD,MEDIUM,101,130,145
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,ULTRA,41,50,76
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,HIGH,58,67,102
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,MEDIUM,71,87,134
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,ULTRA,46,56,86
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,HIGH,61,75,116
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,MEDIUM,82,100,154
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,ULTRA,40,47,55
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,HIGH,64,78,120
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,MEDIUM,84,102,157
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,ULTRA,29,37,54
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,HIGH,46,59,77
Mid,Intel Core i5-12500,20369,6,12,3,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,MEDIUM,84,102,132
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,ULTRA,34,44,49
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,HIGH,46,60,66
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,MEDIUM,60,78,86
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,ULTRA,47,58,89
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,HIGH,64,78,120
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 2070,16078,8,1410,1620,1,FHD,MEDIUM,83,102,157
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,ULTRA,47,58,70
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,HIGH,64,78,120
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3060,16890,12,1320,1777,1,FHD,MEDIUM,84,102,157
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,ULTRA,29,37,54
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,HIGH,46,59,77
Mid,AMD Ryzen 5 5600X,22103,6,12,3.7,4.6,GeForce RTX 3050,12687,8,1552,1777,1,FHD,MEDIUM,84,102,132
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,ULTRA,29,37,54
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,HIGH,46,59,77
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,MEDIUM,84,102,132
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 2070,16078,8,1410,1620,1,FHD,ULTRA,29,37,54
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 2070,16078,8,1410,1620,1,FHD,HIGH,46,59,77
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 2070,16078,8,1410,1620,1,FHD,MEDIUM,84,102,132
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3060,16890,12,1320,1777,1,FHD,ULTRA,29,37,54
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3060,16890,12,1320,1777,1,FHD,HIGH,46,59,77
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3060,16890,12,1320,1777,1,FHD,MEDIUM,84,102,132
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3050,12687,8,1552,1777,1,FHD,ULTRA,29,37,54
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3050,12687,8,1552,1777,1,FHD,HIGH,46,59,77
Mid,Intel Core i5-12400F,19658,6,12,2.5,4.4,GeForce RTX 3050,12687,8,1552,1777,1,FHD,MEDIUM,84,102,132
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,ULTRA,29,39,49
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,HIGH,33,46,59
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce GTX 1660 Super,12723,6,1530,1785,1,FHD,MEDIUM,42,58,74
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 2070,16078,8,1410,1620,1,FHD,ULTRA,33,46,60
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 2070,16078,8,1410,1620,1,FHD,HIGH,63,82,102
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 2070,16078,8,1410,1620,1,FHD,MEDIUM,84,117,132
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3060,16890,12,1320,1777,1,FHD,ULTRA,30,42,54
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3060,16890,12,1320,1777,1,FHD,HIGH,46,59,77
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3060,16890,12,1320,1777,1,FHD,MEDIUM,84,102,132
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3050,12687,8,1552,1777,1,FHD,ULTRA,25,35,50
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3050,12687,8,1552,1777,1,FHD,HIGH,44,55,74
Mid,AMD Ryzen5 PRO 4650G,16431,6,12,3.7,4.2,GeForce RTX 3050,12687,8,1552,1777,1,FHD,MEDIUM,81,100,125
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1650,7797,4,1410,1590,1,FHD,ULTRA,20,22,29
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1650,7797,4,1410,1590,1,FHD,HIGH,24,26,33
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1650,7797,4,1410,1590,1,FHD,MEDIUM,30,38,44
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1050Ti,6314,4,1291,1392,1,FHD,ULTRA,20,22,29
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1050Ti,6314,4,1291,1392,1,FHD,HIGH,24,26,33
Low,Intel Core i3-12100F,14566,4,8,3.3,4.3,GeForce GTX 1050Ti,6314,4,1291,1392,1,FHD,MEDIUM,30,38,44
Low,Intel Core i3-12100,14573,4,8,3.3,4.3,Intel UHD 730,1521,4,300,1400,1,FHD,ULTRA,20,22,29
Low,Intel Core i3-12100,14573,4,8,3.3,4.3,Intel UHD 730,1521,4,300,1400,1,FHD,HIGH,24,26,33
Low,Intel Core i3-12100,14573,4,8,3.3,4.3,Intel UHD 730,1521,4,300,1400,1,FHD,MEDIUM,30,38,44
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3090,26303,24,1560,1860,2,QHD,ULTRA,108,119,137
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3090,26303,24,1560,1860,2,QHD,HIGH,145,160,184
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3090,26303,24,1560,1860,2,QHD,MEDIUM,190,210,240
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3080 Ti,26619,12,1365,1665,2,QHD,ULTRA,106,117,135
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3080 Ti,26619,12,1365,1665,2,QHD,HIGH,142,158,182
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 3080 Ti,26619,12,1365,1665,2,QHD,MEDIUM,186,206,238
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 2080 Ti,21780,11,1350,1545,2,QHD,ULTRA,76,84,97
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 2080 Ti,21780,11,1350,1545,2,QHD,HIGH,102,113,130
High,Intel Core i9-12900,38803,16,24,2.4,5.1,GeForce RTX 2080 Ti,21780,11,1350,1545,2,QHD,MEDIUM,133,148,170
High,AMD Ryzen 7 5800X,28393,8,16,3.8,4.7,GeForce RTX 3080 Ti,26619,12,1365,1665,2,QHD,ULTRA,108,119,137
