model,price,link,thumbnail,socket
ASUS PRIME B550M-A 대원CTS,107800,http://prod.danawa.com/info/?pcode=11574458&keyword=am4+%EB%A9%94%EC%9D%B8%EB%B3%B4%EB%93%9C&cate=112751,http://img.danawa.com/prod_img/500000/458/574/img/11574458_1.jpg?shrink=130:130&_v=20210927135901,AM4
GIGABYTE B660M DS3H D4 제이씨현,133470,http://prod.danawa.com/info/?pcode=16102010&keyword=%EC%9D%B8%ED%85%94+1700%EC%86%8C%EC%BC%93+%EB%A9%94%EC%9D%B8%EB%B3%B4%EB%93%9C&cate=112751,http://img.danawa.com/prod_img/500000/010/102/img/16102010_1.jpg?shrink=130:130&_v=20220426135019,1700
